Prediction,Ground Truth
"[4.691819190979004, 5.042050361633301]","[5.0, 5.002999782562256]"
"[4.652597427368164, 5.065337181091309]","[5.0, 5.005000114440918]"
"[4.8473100662231445, 5.040336608886719]","[5.0, 5.005000114440918]"
"[2.9132561683654785, 6.605055809020996]","[5.0, 5.005000114440918]"
"[4.832358360290527, 4.9749603271484375]","[5.0, 5.005000114440918]"
"[4.8378143310546875, 4.988563537597656]","[5.0, 5.005000114440918]"
"[4.700803756713867, 5.060956954956055]","[5.0, 5.005000114440918]"
"[4.484916687011719, 5.199126243591309]","[5.0, 5.005000114440918]"
"[4.518185615539551, 5.368411064147949]","[5.0, 5.005000114440918]"
"[4.712815284729004, 4.970941543579102]","[5.0, 5.005000114440918]"
"[4.836403846740723, 4.943408966064453]","[5.0, 5.005000114440918]"
"[4.617483615875244, 4.90367317199707]","[5.0, 5.005000114440918]"
"[4.828264236450195, 4.9333086013793945]","[5.0, 5.005000114440918]"
"[4.707175254821777, 5.048047065734863]","[5.0, 5.005000114440918]"
"[4.495113372802734, 5.068704605102539]","[5.0, 5.005000114440918]"
"[4.8799943923950195, 5.025084495544434]","[5.0, 5.005000114440918]"
"[3.1934101581573486, 6.485033988952637]","[5.0, 5.005000114440918]"
"[4.746258735656738, 5.314621925354004]","[5.0, 5.005000114440918]"
"[4.675310134887695, 5.449431419372559]","[5.0, 5.005000114440918]"
"[4.546328544616699, 5.522765159606934]","[5.0, 5.005000114440918]"
"[4.206289291381836, 5.825549125671387]","[5.0, 5.005000114440918]"
"[4.131924629211426, 5.809618949890137]","[5.0, 5.005000114440918]"
"[4.232994079589844, 5.959057807922363]","[5.0, 5.005000114440918]"
"[4.398308753967285, 5.865741729736328]","[5.0, 5.005000114440918]"
"[4.485499382019043, 5.869341850280762]","[5.0, 5.005000114440918]"
"[4.279062271118164, 5.946783065795898]","[5.0, 5.005000114440918]"
"[4.228734016418457, 5.962079048156738]","[5.0, 5.005000114440918]"
"[4.025640487670898, 6.0014448165893555]","[5.0, 5.005000114440918]"
"[4.013860702514648, 6.025792121887207]","[5.0, 5.005000114440918]"
"[3.923429250717163, 5.966953277587891]","[5.0, 5.005000114440918]"
"[2.175663709640503, 7.143901824951172]","[5.0, 5.005000114440918]"
"[4.058798789978027, 5.962895393371582]","[5.0, 5.005000114440918]"
"[3.8641750812530518, 6.101215362548828]","[5.0, 5.005000114440918]"
"[3.6945998668670654, 6.193082809448242]","[5.0, 5.005000114440918]"
"[3.3612895011901855, 6.673147201538086]","[5.0, 5.005000114440918]"
"[3.4673359394073486, 6.5365753173828125]","[5.0, 5.005000114440918]"
"[3.7734286785125732, 6.112192153930664]","[5.0, 5.005000114440918]"
"[3.884723424911499, 6.046987533569336]","[5.0, 5.005000114440918]"
"[3.904055118560791, 6.041166305541992]","[5.0, 5.005000114440918]"
"[3.9478278160095215, 6.033648490905762]","[5.0, 5.005000114440918]"
"[4.083681106567383, 5.942668914794922]","[5.0, 5.005000114440918]"
"[3.950937509536743, 6.049450874328613]","[5.0, 5.005000114440918]"
"[4.377081871032715, 5.893697738647461]","[5.0, 5.005000114440918]"
"[2.2388062477111816, 6.928501129150391]","[5.0, 5.005000114440918]"
"[4.449686050415039, 5.874589920043945]","[5.0, 5.005000114440918]"
"[4.446389198303223, 5.712201118469238]","[5.0, 5.005000114440918]"
"[4.29228401184082, 5.947527885437012]","[5.0, 5.005000114440918]"
"[4.167067527770996, 5.975185394287109]","[5.0, 5.005000114440918]"
"[4.21006441116333, 5.83856201171875]","[5.0, 5.005000114440918]"
"[4.523599624633789, 5.700702667236328]","[5.0, 5.005000114440918]"
"[4.6417341232299805, 5.601780891418457]","[5.0, 5.005000114440918]"
"[4.626866340637207, 5.586233139038086]","[5.0, 5.005000114440918]"
"[4.652685165405273, 5.511385917663574]","[5.0, 5.005000114440918]"
"[4.654074668884277, 5.526571273803711]","[5.0, 5.005000114440918]"
"[4.634355545043945, 5.520583152770996]","[5.0, 5.005000114440918]"
"[4.60416316986084, 5.439060211181641]","[5.0, 5.005000114440918]"
"[4.699898719787598, 5.4409074783325195]","[5.0, 5.005000114440918]"
"[3.5749635696411133, 6.039548873901367]","[5.0, 5.005000114440918]"
"[4.787729263305664, 5.200976371765137]","[5.0, 5.005000114440918]"
"[4.875434875488281, 5.167868614196777]","[5.0, 5.005000114440918]"
"[4.801462650299072, 5.048251152038574]","[5.0, 5.005000114440918]"
"[4.721954345703125, 5.11815071105957]","[5.0, 5.005000114440918]"
"[4.697858810424805, 5.131753921508789]","[5.0, 5.005000114440918]"
"[4.795472145080566, 5.041214942932129]","[5.0, 5.005000114440918]"
"[4.919478416442871, 4.995000839233398]","[5.0, 5.005000114440918]"
"[4.885777473449707, 5.004094123840332]","[5.0, 5.005000114440918]"
"[4.726750373840332, 4.789709568023682]","[5.0, 5.005000114440918]"
"[4.9404802322387695, 4.936841011047363]","[5.0, 5.006999969482422]"
"[4.93950080871582, 4.932424545288086]","[5.0, 5.013000011444092]"
"[5.085846900939941, 4.648181915283203]","[5.001999855041504, 5.014999866485596]"
"[4.933610916137695, 4.982697486877441]","[5.01200008392334, 5.017000198364258]"
"[3.216907262802124, 6.4596357345581055]","[5.02400016784668, 5.020999908447266]"
"[4.939265251159668, 4.962960243225098]","[5.033999919891357, 5.020999908447266]"
"[4.9305219650268555, 4.98812198638916]","[5.040999889373779, 5.020999908447266]"
"[4.93305778503418, 4.977472305297852]","[5.046999931335449, 5.0229997634887695]"
"[4.795892715454102, 4.991350173950195]","[5.052999973297119, 5.026000022888184]"
"[4.73012638092041, 5.140896797180176]","[5.063000202178955, 5.0269999504089355]"
"[4.8867082595825195, 4.996088027954102]","[5.065000057220459, 5.031000137329102]"
"[4.920849800109863, 5.050976753234863]","[5.070000171661377, 5.031000137329102]"
"[4.844226837158203, 4.936820030212402]","[5.074999809265137, 5.0320000648498535]"
"[4.9227294921875, 5.052033424377441]","[5.076000213623047, 5.035999774932861]"
"[4.901750564575195, 5.120007514953613]","[5.076000213623047, 5.035999774932861]"
"[4.827141761779785, 5.081625938415527]","[5.076000213623047, 5.035999774932861]"
"[4.835443496704102, 5.200438499450684]","[5.076000213623047, 5.035999774932861]"
"[4.734020233154297, 5.377703666687012]","[5.076000213623047, 5.035999774932861]"
"[3.216817617416382, 6.500070571899414]","[5.076000213623047, 5.035999774932861]"
"[4.82575798034668, 5.274317741394043]","[5.076000213623047, 5.035999774932861]"
"[4.79771614074707, 5.348889350891113]","[5.076000213623047, 5.035999774932861]"
"[4.808093070983887, 5.264108657836914]","[5.076000213623047, 5.035999774932861]"
"[4.776376724243164, 5.287259101867676]","[5.076000213623047, 5.035999774932861]"
"[4.86048698425293, 5.05967903137207]","[5.076000213623047, 5.035999774932861]"
"[4.814323425292969, 5.198492050170898]","[5.076000213623047, 5.035999774932861]"
"[4.867617607116699, 5.116436004638672]","[5.076000213623047, 5.035999774932861]"
"[4.8812150955200195, 5.169395446777344]","[5.076000213623047, 5.035999774932861]"
"[4.9225921630859375, 5.088128089904785]","[5.076000213623047, 5.035999774932861]"
"[4.876306533813477, 5.178243637084961]","[5.076000213623047, 5.035999774932861]"
"[4.822792053222656, 5.080709457397461]","[5.076000213623047, 5.035999774932861]"
"[4.821782112121582, 4.991693496704102]","[5.076000213623047, 5.035999774932861]"
"[4.914919853210449, 5.109710693359375]","[5.076000213623047, 5.035999774932861]"
"[3.3878061771392822, 6.281637191772461]","[5.076000213623047, 5.035999774932861]"
"[4.46424674987793, 5.111541748046875]","[5.076000213623047, 5.035999774932861]"
"[4.817559242248535, 5.1934051513671875]","[5.076000213623047, 5.035999774932861]"
"[4.9192609786987305, 5.074454307556152]","[5.076000213623047, 5.035999774932861]"
"[4.889245986938477, 4.985622406005859]","[5.076000213623047, 5.035999774932861]"
"[4.925839424133301, 4.977397918701172]","[5.076000213623047, 5.035999774932861]"
"[4.820687294006348, 4.863424301147461]","[5.076000213623047, 5.035999774932861]"
"[4.889255523681641, 5.051967620849609]","[5.076000213623047, 5.035999774932861]"
"[4.954072952270508, 4.9742431640625]","[5.076000213623047, 5.035999774932861]"
"[4.955076217651367, 4.956066131591797]","[5.076000213623047, 5.035999774932861]"
"[4.899026870727539, 4.9760284423828125]","[5.076000213623047, 5.035999774932861]"
"[4.911490440368652, 4.907220840454102]","[5.076000213623047, 5.035999774932861]"
"[4.846735954284668, 4.976709365844727]","[5.076000213623047, 5.035999774932861]"
"[4.812192916870117, 5.031079292297363]","[5.076000213623047, 5.035999774932861]"
"[4.735079765319824, 5.1989030838012695]","[5.076000213623047, 5.035999774932861]"
"[4.679618835449219, 5.212533950805664]","[5.076000213623047, 5.035999774932861]"
"[4.949305534362793, 4.905258655548096]","[5.076000213623047, 5.035999774932861]"
"[4.76338005065918, 4.9053754806518555]","[5.076000213623047, 5.035999774932861]"
"[4.820043563842773, 5.104722023010254]","[5.076000213623047, 5.035999774932861]"
"[4.743247032165527, 5.336260795593262]","[5.076000213623047, 5.035999774932861]"
"[4.882590293884277, 5.180919647216797]","[5.076000213623047, 5.035999774932861]"
"[4.817815780639648, 5.372087478637695]","[5.068999767303467, 5.035999774932861]"
"[4.835533142089844, 5.230521202087402]","[5.051000118255615, 5.035999774932861]"
"[4.786199569702148, 5.467514991760254]","[5.033999919891357, 5.035999774932861]"
"[4.613784313201904, 5.699192047119141]","[5.013999938964844, 5.035999774932861]"
"[4.696805000305176, 5.711668014526367]","[5.004000186920166, 5.035999774932861]"
"[4.751869201660156, 5.532958030700684]","[5.0, 5.035999774932861]"
"[2.4421446323394775, 6.869762420654297]","[5.0, 5.035999774932861]"
"[4.512434005737305, 5.907113075256348]","[5.0, 5.035999774932861]"
"[4.48398494720459, 5.866128921508789]","[5.0, 5.035999774932861]"
"[4.435702323913574, 5.859015464782715]","[5.0, 5.035999774932861]"
"[4.210180759429932, 5.965588569641113]","[5.0, 5.035999774932861]"
"[3.993666648864746, 6.103768348693848]","[5.0, 5.035999774932861]"
"[4.2168288230896, 6.035152435302734]","[5.0, 5.035999774932861]"
"[4.3877153396606445, 5.975746154785156]","[5.0, 5.035999774932861]"
"[4.492095947265625, 5.930019378662109]","[5.0, 5.035999774932861]"
"[4.290529251098633, 5.932384490966797]","[5.0, 5.035999774932861]"
"[4.181234359741211, 6.013553619384766]","[5.0, 5.035999774932861]"
"[4.464709281921387, 5.854816436767578]","[5.0, 5.035999774932861]"
"[2.1986546516418457, 6.95900821685791]","[5.0, 5.035999774932861]"
"[4.575092315673828, 5.775162696838379]","[5.0, 5.035999774932861]"
"[4.738979339599609, 5.677464485168457]","[5.0, 5.035999774932861]"
"[4.659232139587402, 5.678644180297852]","[5.0, 5.035999774932861]"
"[4.518400192260742, 5.813602447509766]","[5.0, 5.035999774932861]"
"[4.529452323913574, 5.738948822021484]","[5.0, 5.035999774932861]"
"[4.676597595214844, 5.556830406188965]","[5.0, 5.035999774932861]"
"[4.880528450012207, 5.398575782775879]","[5.0, 5.035999774932861]"
"[4.85642147064209, 5.155376434326172]","[5.0, 5.035999774932861]"
"[4.889204025268555, 5.22575569152832]","[5.0, 5.035999774932861]"
"[4.78359317779541, 5.328124046325684]","[5.014999866485596, 5.035999774932861]"
"[4.889391899108887, 5.304677963256836]","[5.061999797821045, 5.035999774932861]"
"[4.941739082336426, 5.228602409362793]","[5.111999988555908, 5.035999774932861]"
"[2.9601781368255615, 6.406396865844727]","[5.184000015258789, 5.035999774932861]"
"[4.821043968200684, 5.32601261138916]","[5.248000144958496, 5.071000099182129]"
"[4.920407295227051, 5.2336835861206055]","[5.313000202178955, 5.1519999504089355]"
"[4.885690689086914, 5.270133972167969]","[5.364999771118164, 5.1519999504089355]"
"[4.846132278442383, 5.179835319519043]","[5.4019999504089355, 5.1519999504089355]"
"[4.854243278503418, 5.280939102172852]","[5.427999973297119, 5.1519999504089355]"
"[4.929956436157227, 5.192624092102051]","[5.434000015258789, 5.1519999504089355]"
"[4.899660110473633, 5.233336448669434]","[5.439000129699707, 5.1519999504089355]"
"[4.905474662780762, 5.209183692932129]","[5.439000129699707, 5.1519999504089355]"
"[4.781292915344238, 4.940685272216797]","[5.439000129699707, 5.1519999504089355]"
"[4.896875381469727, 5.203164100646973]","[5.439000129699707, 5.1519999504089355]"
"[4.883347511291504, 5.223182678222656]","[5.439000129699707, 5.1519999504089355]"
"[4.777331829071045, 5.2876996994018555]","[5.439000129699707, 5.1519999504089355]"
"[2.8947269916534424, 6.76191520690918]","[5.439000129699707, 5.1519999504089355]"
"[4.959519386291504, 5.045153617858887]","[5.439000129699707, 5.1519999504089355]"
"[4.734848976135254, 5.089733123779297]","[5.439000129699707, 5.1519999504089355]"
"[4.977572441101074, 4.964682579040527]","[5.439000129699707, 5.1519999504089355]"
"[4.983634948730469, 4.956171035766602]","[5.439000129699707, 5.1519999504089355]"
"[4.909540176391602, 4.829222679138184]","[5.439000129699707, 5.1519999504089355]"
"[5.021968841552734, 4.865154266357422]","[5.439000129699707, 5.1519999504089355]"
"[4.755792617797852, 4.8051581382751465]","[5.439000129699707, 5.1519999504089355]"
"[5.0554046630859375, 4.786813259124756]","[5.439000129699707, 5.1519999504089355]"
"[5.0439910888671875, 4.830338478088379]","[5.439000129699707, 5.1519999504089355]"
"[4.918438911437988, 4.907592296600342]","[5.439000129699707, 5.1519999504089355]"
"[4.999459266662598, 4.829229354858398]","[5.439000129699707, 5.1519999504089355]"
"[4.941144943237305, 4.881719589233398]","[5.439000129699707, 5.1519999504089355]"
"[4.718995094299316, 5.035305976867676]","[5.439000129699707, 5.1519999504089355]"
"[3.041205406188965, 6.576486587524414]","[5.439000129699707, 5.1519999504089355]"
"[5.008929252624512, 4.857969284057617]","[5.439000129699707, 5.1519999504089355]"
"[4.751748085021973, 4.907702922821045]","[5.439000129699707, 5.1519999504089355]"
"[5.019671440124512, 4.90627908706665]","[5.439000129699707, 5.1519999504089355]"
"[4.860864639282227, 4.906295299530029]","[5.439000129699707, 5.151000022888184]"
"[4.911958694458008, 5.063752174377441]","[5.439000129699707, 5.144999980926514]"
"[4.897936820983887, 5.184151649475098]","[5.439000129699707, 5.133999824523926]"
"[4.964948654174805, 5.145231246948242]","[5.439000129699707, 5.129000186920166]"
"[5.013689041137695, 4.961084365844727]","[5.439000129699707, 5.122000217437744]"
"[5.045072555541992, 5.099370956420898]","[5.439000129699707, 5.114999771118164]"
"[5.025457382202148, 5.04644775390625]","[5.439000129699707, 5.107999801635742]"
"[5.0111083984375, 5.1798248291015625]","[5.440000057220459, 5.099999904632568]"
"[4.862024307250977, 5.5255231857299805]","[5.445000171661377, 5.0970001220703125]"
"[5.0461835861206055, 5.335700988769531]","[5.447999954223633, 5.0920000076293945]"
"[3.7566659450531006, 6.105805397033691]","[5.449999809265137, 5.086999893188477]"
"[4.183621406555176, 5.768584251403809]","[5.452000141143799, 5.081999778747559]"
"[4.5964155197143555, 5.740339279174805]","[5.453999996185303, 5.081999778747559]"
"[4.338802337646484, 5.79212760925293]","[5.455999851226807, 5.080999851226807]"
"[4.267642021179199, 5.8055267333984375]","[5.456999778747559, 5.080999851226807]"
"[4.098620414733887, 5.923016548156738]","[5.456999778747559, 5.079999923706055]"
"[4.135272979736328, 5.925447463989258]","[5.456999778747559, 5.078000068664551]"
"[4.177883148193359, 5.729560852050781]","[5.459000110626221, 5.076000213623047]"
"[4.064582347869873, 5.868170738220215]","[5.460999965667725, 5.072999954223633]"
"[4.086404800415039, 5.8473052978515625]","[5.460999965667725, 5.072999954223633]"
"[4.070927619934082, 5.841614723205566]","[5.460999965667725, 5.072000026702881]"
"[4.031130313873291, 5.974374771118164]","[5.460999965667725, 5.067999839782715]"
"[4.083845138549805, 5.890111923217773]","[5.460999965667725, 5.064000129699707]"
"[4.099580764770508, 5.832184791564941]","[5.460999965667725, 5.064000129699707]"
"[2.263228416442871, 6.95743465423584]","[5.460999965667725, 5.061999797821045]"
"[4.245541572570801, 5.792113304138184]","[5.460999965667725, 5.057000160217285]"
"[4.391060829162598, 5.803275108337402]","[5.460999965667725, 5.052999973297119]"
"[4.624425888061523, 5.733837127685547]","[5.460999965667725, 5.051000118255615]"
"[4.410672187805176, 5.774903297424316]","[5.460999965667725, 5.051000118255615]"
"[4.542612075805664, 5.671048164367676]","[5.460999965667725, 5.048999786376953]"
"[4.747066497802734, 5.534933090209961]","[5.460999965667725, 5.047999858856201]"
"[4.944815635681152, 5.373437881469727]","[5.460999965667725, 5.046999931335449]"
"[5.015809059143066, 5.338492393493652]","[5.460999965667725, 5.046000003814697]"
"[5.081557273864746, 5.214086532592773]","[5.460999965667725, 5.045000076293945]"
"[5.125603675842285, 5.110651016235352]","[5.460999965667725, 5.040999889373779]"
"[5.0843915939331055, 5.146307945251465]","[5.460999965667725, 5.0370001792907715]"
"[5.081781387329102, 5.1004791259765625]","[5.460999965667725, 5.035999774932861]"
"[4.940044403076172, 5.199753761291504]","[5.460999965667725, 5.035999774932861]"
"[2.763806104660034, 6.424571990966797]","[5.460999965667725, 5.034999847412109]"
"[4.873488426208496, 5.238324165344238]","[5.460999965667725, 5.033999919891357]"
"[4.869501113891602, 5.188950538635254]","[5.460999965667725, 5.0320000648498535]"
"[4.963184356689453, 5.1670637130737305]","[5.460999965667725, 5.0269999504089355]"
"[4.848304748535156, 5.031133651733398]","[5.460999965667725, 5.026000022888184]"
"[4.848560333251953, 5.225480079650879]","[5.460999965667725, 5.021999835968018]"
"[4.966668128967285, 5.09488582611084]","[5.460999965667725, 5.017000198364258]"
"[4.852691650390625, 5.216950416564941]","[5.460999965667725, 5.013999938964844]"
"[4.9083662033081055, 5.175926208496094]","[5.460999965667725, 5.011000156402588]"
"[4.959552764892578, 5.106634140014648]","[5.460999965667725, 5.00600004196167]"
"[4.779967308044434, 5.270302772521973]","[5.460999965667725, 5.000999927520752]"
"[4.752997398376465, 5.288373947143555]","[5.460999965667725, 4.998000144958496]"
"[4.894661903381348, 4.8853044509887695]","[5.460999965667725, 4.992000102996826]"
"[4.815521240234375, 5.175748825073242]","[5.460999965667725, 4.991000175476074]"
"[4.891654014587402, 4.846864700317383]","[5.460999965667725, 4.986999988555908]"
"[5.149767875671387, 4.841742038726807]","[5.460999965667725, 4.984000205993652]"
"[4.559231281280518, 5.377418518066406]","[5.460999965667725, 4.979000091552734]"
"[4.755091667175293, 5.135814666748047]","[5.460999965667725, 4.9730000495910645]"
"[4.954505920410156, 4.741116046905518]","[5.460999965667725, 4.96999979019165]"
"[4.873054504394531, 4.758932113647461]","[5.460999965667725, 4.965000152587891]"
"[4.946662902832031, 4.911808013916016]","[5.460999965667725, 4.961999893188477]"
"[4.712215900421143, 4.887129783630371]","[5.460999965667725, 4.960000038146973]"
"[4.664079666137695, 5.084526062011719]","[5.460999965667725, 4.958000183105469]"
"[4.752854347229004, 4.995631217956543]","[5.460999965667725, 4.953000068664551]"
"[4.402653694152832, 5.092924118041992]","[5.460999965667725, 4.953000068664551]"
"[4.63832950592041, 5.089548110961914]","[5.460999965667725, 4.953000068664551]"
"[4.672528266906738, 5.109017372131348]","[5.460999965667725, 4.951000213623047]"
"[4.858202934265137, 4.899992942810059]","[5.460999965667725, 4.948999881744385]"
"[5.055088996887207, 4.805257320404053]","[5.460999965667725, 4.942999839782715]"
"[4.497707366943359, 5.193537712097168]","[5.460999965667725, 4.940999984741211]"
"[3.689683675765991, 6.088737487792969]","[5.460999965667725, 4.933000087738037]"
"[4.60507869720459, 5.211821556091309]","[5.460999965667725, 4.927999973297119]"
"[4.511951446533203, 5.196025848388672]","[5.460999965667725, 4.926000118255615]"
"[4.7884650230407715, 4.7842206954956055]","[5.460999965667725, 4.926000118255615]"
"[5.123208045959473, 4.7331953048706055]","[5.460999965667725, 4.925000190734863]"
"[4.661695957183838, 4.875068664550781]","[5.460999965667725, 4.921000003814697]"
"[4.926544189453125, 4.888415336608887]","[5.460999965667725, 4.919000148773193]"
"[4.702304840087891, 5.086057662963867]","[5.460999965667725, 4.915999889373779]"
"[4.664428234100342, 5.107531547546387]","[5.460999965667725, 4.914000034332275]"
"[4.645920753479004, 5.106549263000488]","[5.460999965667725, 4.914000034332275]"
"[4.691302299499512, 5.116284370422363]","[5.460999965667725, 4.9120001792907715]"
"[4.636966705322266, 5.149506568908691]","[5.460999965667725, 4.90500020980835]"
"[4.671344757080078, 5.105002403259277]","[5.460999965667725, 4.89900016784668]"
"[5.121457099914551, 4.736701965332031]","[5.460999965667725, 4.8979997634887695]"
"[4.655135631561279, 5.117641448974609]","[5.460999965667725, 4.895999908447266]"
"[3.7686665058135986, 6.075618743896484]","[5.460999965667725, 4.892000198364258]"
"[4.630148410797119, 5.157522201538086]","[5.460999965667725, 4.892000198364258]"
"[4.5458221435546875, 5.247198104858398]","[5.460999965667725, 4.890999794006348]"
"[4.350154399871826, 5.098793983459473]","[5.460999965667725, 4.890999794006348]"
"[4.443675994873047, 4.954339981079102]","[5.460999965667725, 4.890999794006348]"
"[4.595409393310547, 5.021920204162598]","[5.460999965667725, 4.890999794006348]"
"[4.8856706619262695, 4.725632667541504]","[5.460999965667725, 4.890999794006348]"
"[4.534830093383789, 5.174411773681641]","[5.460999965667725, 4.889999866485596]"
"[4.56838321685791, 5.142962455749512]","[5.460999965667725, 4.889999866485596]"
"[4.140046119689941, 5.287583351135254]","[5.460999965667725, 4.889999866485596]"
"[4.45747184753418, 5.089653015136719]","[5.460999965667725, 4.889999866485596]"
"[4.722970008850098, 5.111306190490723]","[5.460999965667725, 4.889999866485596]"
"[4.504386901855469, 5.468097686767578]","[5.460999965667725, 4.889999866485596]"
"[4.648375511169434, 5.2299604415893555]","[5.460999965667725, 4.889999866485596]"
"[4.989287376403809, 4.847668647766113]","[5.460999965667725, 4.889999866485596]"
"[4.581225872039795, 5.42608642578125]","[5.460999965667725, 4.889999866485596]"
"[3.6384007930755615, 6.149203300476074]","[5.460999965667725, 4.889999866485596]"
"[4.619696617126465, 5.430427551269531]","[5.460999965667725, 4.889999866485596]"
"[4.756697654724121, 5.277796745300293]","[5.460999965667725, 4.889999866485596]"
"[5.0937395095825195, 5.038446426391602]","[5.460999965667725, 4.889999866485596]"
"[5.132085800170898, 5.183137893676758]","[5.460999965667725, 4.889999866485596]"
"[5.046078681945801, 5.22299861907959]","[5.460999965667725, 4.889999866485596]"
"[5.182068824768066, 5.179144859313965]","[5.460999965667725, 4.889999866485596]"
"[5.191324234008789, 5.116509437561035]","[5.460999965667725, 4.889999866485596]"
"[5.0698347091674805, 5.2603654861450195]","[5.460999965667725, 4.889999866485596]"
"[5.186975479125977, 5.223267555236816]","[5.460999965667725, 4.889999866485596]"
"[4.689333438873291, 5.51934814453125]","[5.460999965667725, 4.889999866485596]"
"[4.871037483215332, 5.4225006103515625]","[5.460999965667725, 4.889999866485596]"
"[4.493767738342285, 5.38407039642334]","[5.460999965667725, 4.889999866485596]"
"[4.668303489685059, 5.317044258117676]","[5.460999965667725, 4.889999866485596]"
"[2.8135342597961426, 6.540617942810059]","[5.460999965667725, 4.889999866485596]"
"[4.5201802253723145, 5.38826847076416]","[5.460999965667725, 4.889999866485596]"
"[4.458555221557617, 5.514151573181152]","[5.460999965667725, 4.889999866485596]"
"[4.229877471923828, 5.735280990600586]","[5.460999965667725, 4.889999866485596]"
"[4.156467437744141, 5.940193176269531]","[5.460999965667725, 4.889999866485596]"
"[4.018836975097656, 6.0048370361328125]","[5.460999965667725, 4.889999866485596]"
